iso,country_name,year,region,state_legit,rule_of_law,gov_effectiveness,gdp,donor,sids
MNG,Mongolia,2007,East Asia,4,-0.34744359999999996,-0.5388252,2.411166549,0,0
MYS,Malaysia,2007,Southeast Asia,4.1,0.43770529999999996,1.238987,7.8504265349999995,1,0
NPL,Nepal,2007,South Asia,1.5,-0.5932156,-0.7107469,0.6443944018,0,0
NZL,New Zealand,2007,Oceania,8.9,1.8445650000000002,1.6643259999999998,36.375782810000004,1,0
PAK,Pakistan,2007,South Asia,1.3000000000000007,-0.8870074,-0.47945600000000005,1.246579612,0,0
PHL,Philippines,2007,Southeast Asia,1.8000000000000007,-0.46422060000000004,0.0731165,2.250609385,0,0
PNG,Papua New Guinea,2007,Oceania,2.2,-0.8580711999999999,-0.6539661,2.046488498,0,1
SGP,Singapore,2007,Southeast Asia,6.4,1.612359,2.375459,46.09842873,1,1
SLB,Solomon Islands,2007,Oceania,1.5,-0.7863566999999999,-1.078741,1.910480958,0,1
THA,Thailand,2007,Southeast Asia,2,-0.1189613,0.36148259999999993,4.826871477000001,1,0
TJK,Tajikistan,2007,Central and West Asia,1,-1.292668,-1.110595,0.6994219212,0,0
TKM,Turkmenistan,2007,Central and West Asia,1,-1.5719100000000001,-1.4318,3.353144774,0,0
TLS,Timor-Leste,2007,Southeast Asia,0.5,-1.192855,-1.1319059999999999,0.9326149467,0,1
UZB,Uzbekistan,2007,Central and West Asia,0.8000000000000007,-1.221515,-1.113672,1.7874902129999999,0,0
VNM,Viet Nam,2007,Southeast Asia,3,-0.49249030000000005,-0.24051039999999999,1.4322058140000002,0,0
WSM,Samoa,2007,Oceania,3.3,0.8886780000000001,0.20268470000000002,4.31496396,0,1
AFG,Afghanistan,2008,South Asia,0.8000000000000007,-1.86438,-1.496089,0.3989711165,0,0
ARM,Armenia,2008,Central and West Asia,3.5,-0.34052659999999996,-0.17269389999999998,3.335244164,0,0
AUS,Australia,2008,Oceania,9,1.7708509999999997,1.79397,53.33860278,1,0
AZE,Azerbaijan,2008,Central and West Asia,1.9000000000000004,-0.8324519,-0.7735335,4.692912192,0,0
BGD,Bangladesh,2008,South Asia,0.9000000000000004,-0.7501396,-0.7324244000000001,0.8971890238,0,0
BRN,Brunei Darussalam,2008,Southeast Asia,2.3,0.46514920000000004,0.8885025,33.981337030000006,1,0
BTN,Bhutan,2008,South Asia,2.3,0.3841602,0.28258540000000004,1.9092459059999998,0,0
CHN,People's Republic of China,2008,East Asia,1.6999999999999993,-0.41979740000000004,0.150768,4.711635127,1,0
FJI,Fiji,2008,Oceania,1.3000000000000007,-0.5614722,-0.7335429,4.532013247,0,1
FSM,Federated States of Micronesia,2008,Oceania,3.0999999999999996,0.341098,-0.7258899999999999,2.965738151,0,1
GEO,Georgia,2008,Central and West Asia,1.5999999999999996,-0.2673092,0.2967184,2.9803095350000004,0,0
IDN,Indonesia,2008,Southeast Asia,3.2,-0.6538706,-0.2372018,2.513671592,1,0
IND,India,2008,South Asia,5.2,0.08603889999999999,-0.019193900000000003,1.0930765509999998,1,0
JPN,Japan,2008,East Asia,8.2,1.318866,1.460432,33.5576454,1,0
KAZ,Kazakhstan,2008,Central and West Asia,2.3,-0.8240984,-0.46157070000000006,8.554823573,1,0
KGZ,Kyrgyz Republic,2008,Central and West Asia,1.5999999999999996,-1.3715629999999999,-0.7883915,0.9664153604000001,0,0
KHM,Cambodia,2008,Southeast Asia,1.6999999999999993,-1.148304,-0.9887551,0.8671214601,0,0
KOR,Republic of Korea,2008,East Asia,6.1,0.8808925,1.0509899999999999,23.8827305,1,0
LAO,Lao People's Democratic Republic,2008,Southeast Asia,1.8000000000000007,-0.8692254,-0.8755752,1.405123505,0,0
LKA,Sri Lanka,2008,South Asia,0.8000000000000007,-0.011843799999999998,-0.1228165,2.674746321,0,0
MDV,Maldives,2008,South Asia,2.4000000000000004,-0.1847449,-0.22930860000000003,9.119296448000002,0,1
MMR,Myanmar,2008,Southeast Asia,0.5,-1.541819,-1.530751,0.7526491477,0,0
MNG,Mongolia,2008,East Asia,4,-0.3458996,-0.5280833,2.587777933,0,0
